,text,VP,cfg,good_cplx,good_mood,syntx_score,good_intent_syntx,intent,intendeed,ORG,NORP,DATE,known_words
0,I am still waiting on my card?,am still waiting on my card,VP -> VBP ADVP VP,1,1,0.5555555555555556,0,0,0,0,0,0,
1,What can I do if my card still hasn't arrived after 2 weeks?,do if my card still has n't arrived after 2 weeks,VP -> VB SBAR,1,1,0.5714285714285714,0,0,0,0,0,0,
2,I have been waiting over a week. Is the card still coming?,have been waiting over a week . Is the card still coming,VP -> VBP VP,0,,,0,0,0,0,0,0,
3,Can I track my card while it is in the process of delivery?,track my card while it is in the process of delivery,VP -> VB NP SBAR,1,1,0.7058823529411765,0,0,0,0,0,0,
4,"How do I know if I will get my card, or if it is lost?","know if I will get my card , or if it is lost","VP -> VB SBAR , CC SBAR",1,1,0.3333333333333333,0,0,0,0,0,0,
5,When did you send me my new card?,send me my new card,VP -> VB NP NP,1,1,0.8,0,0,0,0,0,0,
6,Do you have info about the card on delivery?,have info about the card on delivery,VP -> VB NP,1,1,1.0,1,['have'],['info'],,,,1
7,What do I do if I still have not received my new card?,do if I still have not received my new card,VP -> VB SBAR,1,1,0.5714285714285714,0,0,0,0,0,0,
8,Does the package with my card have tracking?,have tracking,VP -> VBP VP,1,1,0.7692307692307693,0,0,0,0,0,0,
9,I ordered my card but it still isn't here,ordered my card,VP -> VBD NP,0,,,0,0,0,0,0,0,
10,Why has my new card still not come?,come,VP -> VBN,1,1,0.8,0,0,0,0,0,0,
11,"I still haven't received my card after two weeks, is it lost?","have n't received my card after two weeks , is it lost","VP -> VP , SQ",1,1,0.42857142857142855,0,0,0,0,0,0,
12,Can you track my card for me?,track my card for me,VP -> VB NP PP,1,1,0.8,0,0,0,0,0,0,
13,Is there a way to track the delivery of my card?,to track the delivery of my card,VP -> TO VP,1,1,0.5,0,0,0,0,0,0,
14,It's been a week since I ordered my card and it's not here. Please help?,'s been a week since I ordered my card,VP -> VBZ VP,0,,,0,0,0,0,0,0,
15,Will I be able to track the card that was sent to me?,be able to track the card that was sent to me,VP -> VB ADJP,1,1,0.7142857142857143,0,0,0,0,0,0,
16,I don't have my card in 1 week.  Should I be worried?,do n't have my card in 1 week . Should I be worried,VP -> VP . SQ,0,,,0,0,0,0,0,0,
17,How do I know when my new card is going to arrive?,know when my new card is going to arrive,VP -> VB SBAR,1,1,0.5714285714285714,0,0,0,0,0,0,
18,My new card has not been delivered to my home yet. What is going on?,has not been delivered to my home yet . What is going on,VP -> VP . SBAR,0,,,0,0,0,0,0,0,
19,It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,'s been a week since you issued me a card and I still did n't get it . Should I keep waiting,VP -> VP CC S,0,,,0,0,0,0,0,0,
20,"On the card that is coming, what's the tracking info?",is coming,VP -> VBZ VP,1,1,0.7692307692307693,0,0,0,0,0,0,
21,What is the status of my card's delivery?,is the status of my card 's delivery,VP -> VBZ NP,1,1,0.9230769230769231,0,0,0,0,0,0,
